Sales,Customer Name,Commodity,HS Code,,,,,,,,,,,,,,,,,,,,,,,
NUT,"PHOENIX PULP AND PAPER (PUBLIC) CO.,LTD.",PAPER KRAFT,,,,,,,,,,,,,,,,,,,,,,,,
NUT,PONGLARP,RICE,10063099,,,,,,,,,,,,,,,,,,,,,,,
NUT,"RATTANAJAK BUSINESS CO.,LTD.","BEVERAGE, SPIRITS AND VINEGAR",220299,,,,,,,,,,,,,,,,,,,,,,,
NUT,S.KIJCHAI ENTERPRISE PUBLIC COMPANY LIMITED,MDF BOARD,,,,,,,,,,,,,,,,,,,,,,,,
NUT,"Siam Kraft Industry Co., Ltd.",PAPER KRAFT,"48059190, 48059290",,,,,,,,,,,,,,,,,,,,,,,
NUT,SRI TRANG GLOVES (THAILAND) PUBLIC COMPANY LIMITED,LATEX GLOVES,401511,,,,,,,,,,,,,,,,,,,,,,,
NUT,SCG ICO POLYMERS COMPANY LIMITED,PLASTIC RESIN,291736,,,,,,,,,,,,,,,,,,,,,,,
NUT,SAHAMITR,EMPTY CYLINDER(Gas Tank),732181,,,,,,,,,,,,,,,,,,,,,,,
NUT,HMC POLYMERS,"RESIN (PE,PP,PVC,VINYL)",39021040,,,,,,,,,,,,,,,,,,,,,,,
NUT,Thai Paper Company Limited,PAPER KRAFT ,,,,,,,,,,,,,,,,,,,,,,,,
NUT,THAI POLYETHYLENE,POLYETHYLENE / PLASTIC RESIN,390120,,,,,,,,,,,,,,,,,,,,,,,
NUT,THAI POLYETHYLENE,HIGH DENSITY POLYETHYLENE RESIN,390120,,,,,,,,,,,,,,,,,,,,,,,
NUT,THAI POLYETHYLENE,POLYPROPYLENE COPOLYMER RESIN,390230,,,,,,,,,,,,,,,,,,,,,,,
NUT,WISEWOODS COMPANY LIMITED,MDF BOARD,"44111200, 44111300",,,,,,,,,,,,,,,,,,,,,,,
JOM,"BETTA LATEX INTERNATIONAL CO.,LTD",LATEX,400110,,,,,,,,,,,,,,,,,,,,,,,
JOM,D.A. PACKAGING COMPANY LIMITED,PRINTED MATERIAL & PAPER PRODUCT,,,,,,,,,,,,,,,,,,,,,,,,
JOM,DEXON CORPORATION LIMITED,RUBBER PRODUCTS,400700,,,,,,,,,,,,,,,,,,,,,,,
JOM,DOUBLE A,PRINTED MATERIAL & PAPER PRODUCT,480256,,,,,,,,,,,,,,,,,,,,,,,
JOM,GENERAL STARCH LIMITED,MODIFIED STARCH,350510,,,,,,,,,,,,,,,,,,,,,,,
JOM,JSY LATEX PRODUCTS (THAILAND),LATEX PILLOW,940490,,,,,,,,,,,,,,,,,,,,,,,
JOM,JSY LATEX PRODUCTS (THAILAND),LATEX MATTRESS,940421,,,,,,,,,,,,,,,,,,,,,,,
JOM,"KONOIKE ASIA (THAILAND) CO., LTD.",CATALYST OF DESULFURIZATION REACTION,381519,,,,,,,,,,,,,,,,,,,,,,,
JOM,LONGTEX RUBBER INDUSTRY,RUBBER PRODUCTS,400700,,,,,,,,,,,,,,,,,,,,,,,
JOM,"Natural Supply 2000 Co., Ltd.",TAPIOCA STARCH,,,,,,,,,,,,,,,,,,,,,,,,
JOM,OSOTSPA PUBLIC COMPANY LIMITED,ENERGY DRINK,22029990,,,,,,,,,,,,,,,,,,,,,,,
JOM,SANGUAN WONSGE STARCH,TAPIOCA STARCH,350510,,,,,,,,,,,,,,,,,,,,,,,
JOM,"SONISH STARCH TECHNOLOGY CO., LTD",PRINTED MATERIAL & PAPER PRODUCT,,,,,,,,,,,,,,,,,,,,,,,,
JOM,"THAI GYPSUM PRODUCTS PUBLIC CO., LTD.",GYPSUM BOARD,6809.11.00,,,,,,,,,,,,,,,,,,,,,,,
JOM,,GYPSUM BOARD (GYPROC REGULAR/WEBER FIBER MESH),6809.11.00,,,,,,,,,,,,,,,,,,,,,,,
JOM,"THAI GYPSUM PRODUCTS PUBLIC CO., LTD.",ACCESSORIES ,7318.29.90,,,,,,,,,,,,,,,,,,,,,,,
JOM,"THAI GYPSUM PRODUCTS PUBLIC CO., LTD.",GYPROC REGULAR & WEBER FIBER MESH,6809.11.00,,,,,,,,,,,,,,,,,,,,,,,
JOM,"THAI GYPSUM PRODUCTS PUBLIC CO., LTD.",ACCESSORIES (GYPROC DRYWALL SCREW),7318.29.90,,,,,,,,,,,,,,,,,,,,,,,
JOM,"THAI POULTRY GROUP CO., LTD",FROZEN CHICKEN,,,,,,,,,,,,,,,,,,,,,,,,
JOM,"TOUNETSU THAI CO.,LTD. ",MACHINERY & EQUIPMENT,851430,,,,,,,,,,,,,,,,,,,,,,,
JOM,"SIAM DANDY CO.,LTD",WHISKY,220830,,,,,,,,,,,,,,,,,,,,,,,
PATTY,"BTRADE CENTRE CO.,LTD.",SPARE PARTS OF AIR CONDITIONER,84159019,,,,,,,,,,,,,,,,,,,,,,,
PATTY,Laemthong Food Products Company Limited,FROZEN CHICKEN,160232,,,,,,,,,,,,,,,,,,,,,,,
PATTY,"Laemthong Poultry Co., Ltd.",FROZEN CHICKEN,160232,,,,,,,,,,,,,,,,,,,,,,,
PATTY,"MAXXIS INTERNATIONAL (THAILAND) CO.,LTD.",TYRE,"401110.00,4011.20.11",,,,,,,,,,,,,,,,,,,,,,,
PATTY,"MITR SUPHAN RICE CO.,LTD.",RICE,,,,,,,,,,,,,,,,,,,,,,,,
PATTY,Olam (Thailand) Limited,RICE,100630,,,,,,,,,,,,,,,,,,,,,,,
PATTY,ON-GREEN PRODUCES COMPANY LIMITED,CANNED GOODS,,,,,,,,,,,,,,,,,,,,,,,,
PATTY,"OSC SIAM SILICA CO., LTD. (HEAD OFFICE)",SILICA,281122,,,,,,,,,,,,,,,,,,,,,,,
PATTY,Riceland international ltd.,RICE,100630,,,,,,,,,,,,,,,,,,,,,,,
